ID,Title,Price,Miles,Location,Market Price
1,2021 Toyota RAV4 Hybrid XLE AWD,$34709,27164 mi,"Brookfield, WI",$1388 below market
2,2019 GMC Sierra 1500 Elevation Crew Cab LB 4WD,$39790,32468 mi,"Plymouth, WI",$1535 below market
3,2019 Ford Escape SEL FWD,$21999,32253 mi,"Random Lake, WI",$796 below market
4,2016 Ford F-150 XLT SuperCrew 4WD,$23999,91460 mi,"Random Lake, WI",$2785 below market
5,2002 Honda S2000 Roadster,$21900,89791 mi,"Delavan, WI",$4698 below market
6,2020 Ford F-150 Lariat SuperCrew 4WD,$45000,20429 mi,"Greenfield, WI",$4055 below market
7,2020 Ford F-150 XLT SuperCrew 4WD,$31499,81629 mi,"Random Lake, WI",$2507 below market
8,2022 Honda Accord EX-L FWD,$29971,14824 mi,"Kenosha, WI",$2069 below market
9,2015 Chevrolet Equinox 2LT FWD,$8985,140308 mi,"Beaver Dam, WI",$1888 below market
10,2019 Jeep Compass Limited 4WD,$18985,89308 mi,"Beaver Dam, WI",$1679 below market
11,2017 Chevrolet Silverado 1500 LT 4WD,$23990,106188 mi,"Beaver Dam, WI",$3333 below market
12,2022 Ford Escape SEL AWD,$32300,1687 mi,"Beaver Dam, WI",$3710 below market
13,2022 GMC Terrain SLE AWD,$27883,7826 mi,"Plymouth, WI",$2699 below market
14,2022 Chevrolet Silverado 1500 RST Crew Cab 4WD,$50999,13682 mi,"Plymouth, WI",$3961 below market
15,2020 Chevrolet Silverado 1500 Custom Double Cab 4WD,$32690,32120 mi,"Plymouth, WI",$2220 below market
16,2022 GMC Terrain SLE AWD,$27814,19214 mi,"Plymouth, WI",$1794 below market
17,2021 GMC Terrain SLT AWD,$29000,24538 mi,"Beaver Dam, WI",$2039 below market
18,2021 Chevrolet Tahoe Z71 4WD,$58903,53246 mi,"Plymouth, WI",$2931 below market
19,2020 Toyota Tacoma TRD Sport Double Cab 4WD,$37981,32291 mi,"Waukesha, WI",$775 below market
20,2021 Ford Mustang Mach 1 Coupe RWD,$51600,7028 mi,"Lake Geneva, WI",$3928 below market
21,2019 Ford F-150 XL SuperCrew 4WD,$36997,21368 mi,"Menomonee Falls, WI",$714 below market
22,2022 GMC Terrain SLE AWD,$27883,7826 mi,"Plymouth, WI",$2699 below market
23,2016 Ford F-150 XLT SuperCrew 4WD,$23999,91460 mi,"Random Lake, WI",$2785 below market
24,2002 Honda S2000 Roadster,$21900,89791 mi,"Delavan, WI",$4698 below market
25,2020 Ford F-150 Lariat SuperCrew 4WD,$45000,20429 mi,"Greenfield, WI",$4055 below market
26,2020 Ford F-150 XLT SuperCrew 4WD,$31499,81629 mi,"Random Lake, WI",$2507 below market
27,2022 Honda Accord EX-L FWD,$29971,14824 mi,"Kenosha, WI",$2069 below market
28,2015 Chevrolet Equinox 2LT FWD,$8985,140308 mi,"Beaver Dam, WI",$1888 below market
29,2019 Jeep Compass Limited 4WD,$18985,89308 mi,"Beaver Dam, WI",$1679 below market
30,2017 Chevrolet Silverado 1500 LT 4WD,$23990,106188 mi,"Beaver Dam, WI",$3333 below market
31,2022 Ford Escape SEL AWD,$32300,1687 mi,"Beaver Dam, WI",$3710 below market
32,2022 GMC Terrain SLE AWD,$27883,7826 mi,"Plymouth, WI",$2699 below market
33,2022 Chevrolet Silverado 1500 RST Crew Cab 4WD,$50999,13682 mi,"Plymouth, WI",$3961 below market
34,2020 Chevrolet Silverado 1500 Custom Double Cab 4WD,$32690,32120 mi,"Plymouth, WI",$2220 below market
35,2022 GMC Terrain SLE AWD,$27814,19214 mi,"Plymouth, WI",$1794 below market
36,2021 GMC Terrain SLT AWD,$29000,24538 mi,"Beaver Dam, WI",$2039 below market
37,2021 Chevrolet Tahoe Z71 4WD,$58903,53246 mi,"Plymouth, WI",$2931 below market
38,2020 Chevrolet Silverado 1500 High Country Crew Cab 4WD,$47688,54732 mi,"Racine, WI",$816 below market
39,2020 Chevrolet Silverado 1500 LT Trail Boss Crew Cab 4WD,$44495,49713 mi,"Milwaukee, WI",$392 below market
40,2015 GMC Savana Cargo 2500 RWD,$23836,39170 mi,"Plymouth, WI",$3018 below market
41,2022 Ford F-150 XLT SuperCrew 4WD,$51900,10722 mi,"Kenosha, WI",$255 below market
42,2004 Cadillac XLR RWD,$20999,49495 mi,"Brown Deer, WI",$3609 below market
43,2023 Acura RDX SH-AWD with Advance and A-Spec Package,$49686,351 mi,"Milwaukee, WI",$2892 below market
44,2020 Dodge Charger Scat Pack RWD,$40899,44968 mi,"West Bend, WI",$2571 below market
45,2020 Ford Ranger XL SuperCab 4WD,$19580,133189 mi,"Watertown, WI",$2514 below market
46,2020 GMC Sierra 1500 SLT Crew Cab 4WD,$43580,48600 mi,"Watertown, WI",$2900 below market
47,2019 Chevrolet Camaro,$26995,1787 mi,"Plymouth, WI",$3768 below market
48,2013 Chevrolet Silverado 1500 LT Extended Cab 4WD,$8998,204254 mi,"Delavan, WI",$2605 below market
49,2021 Ford F-150 XLT SuperCrew 4WD,$39898,20260 mi,"Delavan, WI",$4506 below market
50,2021 Cadillac XT5 Premium Luxury AWD,$40884,8106 mi,"Delavan, WI",$3771 below market
51,2021 Chevrolet Suburban Z71 4WD,$59898,48674 mi,"Delavan, WI",$4990 below market
52,2016 GMC Yukon SLE 4WD,$29999,50500 mi,"Sheboygan Falls, WI",$2128 below market
53,2020 Volvo XC90 T6 Momentum 7-Passenger AWD,$38929,34729 mi,"Waukesha, WI",$2918 below market
54,2017 Chevrolet Tahoe LT 4WD,$28594,111278 mi,"Milwaukee, WI",$2357 below market
55,2020 Chevrolet Equinox 2.0T Premier AWD,$29282,4777 mi,"Milwaukee, WI",$2345 below market
56,2020 Toyota Tacoma TRD Sport Double Cab 4WD,$35800,24317 mi,"Milwaukee, WI",$3496 below market
57,2019 RAM 1500 Laramie Crew Cab 4WD,$37905,65483 mi,"Plymouth, WI",$1272 below market
58,2021 Dodge Durango R/T AWD,$40595,43301 mi,"Milwaukee, WI",$1991 below market
59,2020 Dodge Durango R/T AWD,$36594,65055 mi,"Milwaukee, WI",$1705 below market
60,2021 Ford F-150 Lariat SuperCrew 4WD,$48494,32768 mi,"Milwaukee, WI",$984 below market
61,2020 Buick Encore GX Essence AWD,$21899,53377 mi,"Gurnee, IL",$3359 below market
62,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,$41999,3723 mi,"Saukville, WI",$4262 below market
63,2021 Cadillac XT4 Sport AWD,$34999,17477 mi,"Saukville, WI",$3749 below market
64,2022 Volkswagen ID.4 Pro S RWD,$35706,3794 mi,"Milwaukee, WI",$3214 below market
65,2019 Chevrolet Silverado 1500 LTZ Crew Cab 4WD,$41765,41100 mi,"Cedarburg, WI",$2893 below market
66,2020 Ford F-150 XLT SuperCrew 4WD,$36994,32889 mi,"Cedarburg, WI",$2597 below market
67,2022 Chevrolet Traverse LT Leather AWD,$37500,26241 mi,"Cedarburg, WI",$2435 below market
68,2022 Chevrolet Silverado 3500HD High Country Crew Cab 4WD,$72998,17737 mi,"Cedarburg, WI",$3193 below market
69,2022 Jeep Renegade Limited 4WD,$27894,9243 mi,"Gurnee, IL",$1625 below market
70,2023 Volkswagen Golf R 2.0T 4Motion AWD,$52227,1916 mi,"Milwaukee, WI",$3955 below market
71,2023 Porsche Macan T AWD,$61382,2301 mi,"Milwaukee, WI",$5636 below market
72,2021 Honda Accord Hybrid Touring FWD,$31150,24401 mi,"Gurnee, IL",$2558 below market
73,2022 Hyundai Santa Fe SEL AWD,$29500,15795 mi,"Gurnee, IL",$3087 below market
74,2016 Nissan Rogue S FWD,$10990,101100 mi,"Gurnee, IL",$2296 below market
75,2020 GMC Sierra 2500HD AT4 Crew Cab 4WD,$54603,55629 mi,"Plymouth, WI",$5430 below market
76,2020 Kia Sedona EX FWD,$24407,60697 mi,"Milwaukee, WI",$1072 below market
77,2022 Chevrolet Silverado 1500 ZR2 Crew Cab 4WD,$66995,7607 mi,"Milwaukee, WI",$907 below market
78,2021 Dodge Durango R/T AWD,$37990,60918 mi,"Burlington, WI",$1608 below market
79,2022 GMC Acadia SLE FWD,$30821,26671 mi,"Oak Creek, WI",$2271 below market
80,2016 Ford F-150 XLT SuperCrew 4WD,$23999,91460 mi,"Random Lake, WI",$2785 below market
81,2002 Honda S2000 Roadster,$21900,89791 mi,"Delavan, WI",$4698 below market
82,2020 Ford F-150 Lariat SuperCrew 4WD,$45000,20429 mi,"Greenfield, WI",$4055 below market
83,2020 Ford F-150 XLT SuperCrew 4WD,$31499,81629 mi,"Random Lake, WI",$2507 below market
84,2022 Honda Accord EX-L FWD,$29971,14824 mi,"Kenosha, WI",$2069 below market
85,2015 Chevrolet Equinox 2LT FWD,$8985,140308 mi,"Beaver Dam, WI",$1888 below market
86,2019 Jeep Compass Limited 4WD,$18985,89308 mi,"Beaver Dam, WI",$1679 below market
87,2017 Chevrolet Silverado 1500 LT 4WD,$23990,106188 mi,"Beaver Dam, WI",$3333 below market
88,2022 Ford Escape SEL AWD,$32300,1687 mi,"Beaver Dam, WI",$3710 below market
89,2022 GMC Terrain SLE AWD,$27883,7826 mi,"Plymouth, WI",$2699 below market
90,2022 Chevrolet Silverado 1500 RST Crew Cab 4WD,$50999,13682 mi,"Plymouth, WI",$3961 below market
91,2020 Chevrolet Silverado 1500 Custom Double Cab 4WD,$32690,32120 mi,"Plymouth, WI",$2220 below market
92,2022 GMC Terrain SLE AWD,$27814,19214 mi,"Plymouth, WI",$1794 below market
93,2021 GMC Terrain SLT AWD,$29000,24538 mi,"Beaver Dam, WI",$2039 below market
94,2021 Chevrolet Tahoe Z71 4WD,$58903,53246 mi,"Plymouth, WI",$2931 below market
95,2020 Chevrolet Spark ACTIV FWD,$18374,5434 mi,"Plymouth, WI",$852 below market
96,2022 Kia EV6 Wind AWD,$42254,8582 mi,"Waukesha, WI",$585 above market
97,2020 Lincoln MKZ Reserve I AWD,$38574,21746 mi,"Fort Atkinson, WI",$1544 above market
98,2021 RAM 1500 TRX Crew Cab 4WD,$85994,21633 mi,"Mukwonago, WI",$1597 above market
99,2004 Cadillac XLR RWD,$20999,49495 mi,"Brown Deer, WI",$3609 below market
100,2023 Acura RDX SH-AWD with Advance and A-Spec Package,$49686,351 mi,"Milwaukee, WI",$2892 below market
101,2020 Dodge Charger Scat Pack RWD,$40899,44968 mi,"West Bend, WI",$2571 below market
102,2020 Ford Ranger XL SuperCab 4WD,$19580,133189 mi,"Watertown, WI",$2514 below market
103,2020 GMC Sierra 1500 SLT Crew Cab 4WD,$43580,48600 mi,"Watertown, WI",$2900 below market
104,2019 Chevrolet Camaro,$26995,1787 mi,"Plymouth, WI",$3768 below market
